product_id,key,value
category_3_product_1,brand,boat
category_3_product_1,category generic name of commodity,wireless earphones
category_3_product_1,product description name,rockerz 255 pro
category_3_product_1,ip rating,ip 7
category_3_product_1,ma imum retail priceinclusive of all ta es,3990
category_3_product_1,warranty,1 year from the date of purchase
category_3_product_1,net content,rockerz 255 pro 1 unit typec 1 unit user manual 1 unit warranty card
category_3_product_1,working time,up to 60 hours nonstop playback
category_3_product_1,battery,20 min charge 4 hrs playback
category_3_product_1,asap charge,yes
category_3_product_1,bluetooth version,50
category_3_product_1,net quantity,1 unit
category_3_product_1,country of origin,china
category_3_product_1,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093 india
category_3_product_1,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_2,name,rockerz 110
category_3_product_2,headphone type,inear
category_3_product_2,category,wireless earphones
category_3_product_2,ip rating,ip 5
category_3_product_2,driver size,10 mm2
category_3_product_2,music playtime,up to 40 hours
category_3_product_2,frequency,20 hz20 khz
category_3_product_2,charging time,about 50 mins
category_3_product_2,beast mode,yes
category_3_product_2,asap charge,yes
category_3_product_2,operating range,10 m
category_3_product_2,compatibility,all bluetooth devices
category_3_product_2,net quantity,1 unit
category_3_product_2,charging interface,type c
category_3_product_2,country of origin,china
category_3_product_2,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093india
category_3_product_2,net content,1 unit pair of wireless earphones 1 unit type c cable 1 unit user manual 1 unit warranty card 1 unit catalogue 1 unit faq card
category_3_product_2,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_3,name,rockerz 109
category_3_product_3,category,headphone
category_3_product_3,compatibility,all bluetooth devices
category_3_product_3,driver size,10 mm2
category_3_product_3,music playtime,upto 40 hours
category_3_product_3,frequency,20 hz20 khz
category_3_product_3,battery capacity,210 mah
category_3_product_3,beast mode,yes
category_3_product_3,charging time,about 60 minutes
category_3_product_3,transmission range,10 m
category_3_product_3,bluetooth version,v 53
category_3_product_3,net quantity,1 unit
category_3_product_3,charging interface,type c
category_3_product_3,country of origin,china
category_3_product_3,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093india
category_3_product_3,net content,1 unit earphone 1 unit type c cable 1 unit user manual 1 unit warranty card 1 unit faq card
category_3_product_3,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_5,name,rockerz summit
category_3_product_5,headphone type,inear
category_3_product_5,category,wireless earphones
category_3_product_5,ip rating,ip 5
category_3_product_5,driver size,10 mm2
category_3_product_5,music playtime,up to 30 hours
category_3_product_5,frequency,20 hz20 khz
category_3_product_5,charging time,60 mins
category_3_product_5,beast mode,yes
category_3_product_5,asap charge,yes
category_3_product_5,operating range,10 m
category_3_product_5,compatibility,all bluetooth devices
category_3_product_5,net quantity,1 unit
category_3_product_5,mrpinclusive all ta es,4490
category_3_product_5,charging interface,type c
category_3_product_5,country of origin,china
category_3_product_5,imported and marketed by,imagine marketing limited
category_3_product_5,address,unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_5,net content,1 unit pair of wireless earphones 1 unit type c cable 1 unit user manual 1 unit warranty card 1 unit catalogue 1 unit faq card
category_3_product_5,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_6,name,rockerz 333
category_3_product_6,category,headphone
category_3_product_6,compatibility,all bluetooth devices
category_3_product_6,driver size,10 mm 2 drivers
category_3_product_6,music playtime,upto 30 hours
category_3_product_6,frequency,20 hz20 khz
category_3_product_6,battery capacity,150 mah
category_3_product_6,driver type,dynamic
category_3_product_6,charging time,about 40 mins
category_3_product_6,transmission range,10 m
category_3_product_6,bluetooth version,v 50
category_3_product_6,net quantity,1 unit
category_3_product_6,charging interface,type c
category_3_product_6,country of origin,china
category_3_product_6,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093 india
category_3_product_6,net content,1 unit earphone 1 unit type c cable 1 unit user manual 1 unit warranty card 1 unit faq card
category_3_product_6,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_7,name,boat rockerz 255 anc
category_3_product_7,category,wireless earphones
category_3_product_7,driver size,13 mm2
category_3_product_7,playtime,up to 100 hours
category_3_product_7,charging interface,usb type c
category_3_product_7,frequency,20 hz20 khz
category_3_product_7,operating range,10 m
category_3_product_7,compatibility,bluetooth v 53
category_3_product_7,net quantity,1 unit
category_3_product_7,country of origin,china
category_3_product_7,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093india
category_3_product_7,net content,1 unit boat rockerz 255 anc 1 unit usb type c charging cable 1 unit manual 1 unit catalogue 1 unit warranty card
category_3_product_7,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_8,name,rockerz 111
category_3_product_8,headphone type,inear
category_3_product_8,category,wireless earphones
category_3_product_8,ip rating,ip 5
category_3_product_8,driver size,10 mm2
category_3_product_8,music playtime,up to 40 hours
category_3_product_8,frequency,20 hz20 khz
category_3_product_8,charging time,about 50 mins
category_3_product_8,beast mode,yes
category_3_product_8,asap charge,yes
category_3_product_8,operating range,10 m
category_3_product_8,compatibility,all bluetooth devices
category_3_product_8,net quantity,1 unit
category_3_product_8,charging interface,type c
category_3_product_8,country of origin,china
category_3_product_8,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093india
category_3_product_8,net content,1 unit pair of wireless earphones 1 unit type c cable 1 unit user manual 1 unit warranty card 1 unit catalogue 1 unit faq card
category_3_product_8,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_9,headphone type,inear
category_3_product_9,driver size,10 mm2
category_3_product_9,bluetooth version,v 52
category_3_product_9,bluetooth range,10 m
category_3_product_9,battery capacity,150 mah
category_3_product_9,playing time,up to 20 hours at 60 volume
category_3_product_9,charging time,about 1 hour
category_3_product_9,charging interface,usb type c
category_3_product_9,water resistance,ip 5
category_3_product_9,country of origin,china
category_3_product_11,name,boat rockerz 103 v 2 pro
category_3_product_11,category,wireless earphones
category_3_product_11,driver size,10 mm2
category_3_product_11,playtime,up to 30 hours
category_3_product_11,charging interface,usb type c
category_3_product_11,frequency,20 hz20 khz
category_3_product_11,operating range,10 m
category_3_product_11,compatibility,bluetooth v 52
category_3_product_11,net quantity,1 unit
category_3_product_11,country of origin,china
category_3_product_11,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093india
category_3_product_11,net content,1 unit boat rockerz 103 v 2 pro 1 unit usb type c charging cable 1 unit manual 1 unit catalogue 1 unit warranty card
category_3_product_11,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_12,name,rockerz prime 255 z
category_3_product_12,headphone type,inear
category_3_product_12,category,wireless neckband earphones
category_3_product_12,ip rating,ip 4
category_3_product_12,driver size,10 mm2
category_3_product_12,earpiece dimension,270 mm661 mm433 mmspan
category_3_product_12,music playtime,up to 50 hours
category_3_product_12,frequency,20 hz20 khz
category_3_product_12,charging time,about 1 hr
category_3_product_12,beast mode,yes 65 ms low latency
category_3_product_12,asap charge,yes
category_3_product_12,operating range,10 m
category_3_product_12,compatibility,all bluetooth devices
category_3_product_12,ma imum retail priceinclusive of all ta es,2990
category_3_product_12,net quantity,1 unit
category_3_product_12,charging interface,type c
category_3_product_12,country of origin,vietnam
category_3_product_12,imported and marketed by,imagine marketing ltd unit no 204205 2 nd floor dwing ewing corporate avenue andheri ghatkopar link road mumbai maharashtra400093india
category_3_product_12,net content,1 unit pair of wireless earphones 1 unit typec cable 1 unit user manual 2 units e tra earmuffs
category_3_product_12,for consumer complaints,02269181920 infoimaginemarketingindiacom imagine marketing limited address unit no 204205 dwing ewing corporate avenue andheri ghatkopar link road andheri east mumbai400093
category_3_product_13,bluetooth version,v 53
category_3_product_13,ip rating,ip 4
category_3_product_13,music playtime,up to 20 hours
category_3_product_13,talk,up to 20 hours
category_3_product_13,battery capacity,about 1 hour
category_3_product_13,operating range,10 mm
category_3_product_13,driver size,10 mm2
category_3_product_13,frequency,20 hz20 khz
category_3_product_13,battery,150 mah
