product_id,question,answer
category_1_product_1,how to play or pause the music in y1 earbuds,just tap once on the wireless earbuds and double tap for skipping tracks you can also adjust the tap functions as per your preference through the goboult amp app
category_1_product_1,which bluetooth version do goboult y1 earbuds support,y1 wireless earbuds feature the bluetooth 53 version
category_1_product_1,do w30 earbuds have noise cancellation,the w30 wireless earbuds have quad microphones equipped with environmental noise cancellation enc technology
category_1_product_1,how can i activate google voice assistantsiri on my earbuds,long press on either earbud for 2s to activate the google voice assistantsiri
category_1_product_1,are these wireless earbuds compatible with ios android mac and windows,yes the goboult w30 earbuds are compatible with all the devices
category_1_product_1,what is the charging time of the y1 earbuds,goboult w30 earbuds support fast charging with 100 minutes of playback after a 10minute charge
category_1_product_2,which bluetooth version do these goboult earbuds support,these earbuds features the latest bluetooth 53 version
category_1_product_2,how can i playpause or switch to previousnext track,double tap either earbud to playpause track long press for 2 seconds leftright earbud to switch between previousnext track
category_1_product_2,how long is the playback time for the goboult z40 pro earbuds,the goboult z40 pro earbuds has astonishing 100hour playtime on a single charge
category_1_product_2,does goboult z40 pro earbuds have noise cancellation,goboult z40 pro tws earbuds come with environmental noise cancellation
category_1_product_2,are these earbuds compatible with ios android mac and windows,goboult z40 pro tws earbuds with environmental noise cancellation
category_1_product_4,how can i activate google voice assistantsiri on my earbuds,long press on either earbud for 2s to activate the google voice assistantsiri
category_1_product_4,are these wireless earbuds compatible with ios android mac and windows,yes the goboult w30 earbuds are compatible with all the devices
category_1_product_4,what is the charging time of the y1 earbuds,goboult w30 earbuds support fast charging with 100 minutes of playback after a 10minute charge
category_1_product_5,2 how long does the battery last on klarity 4,you get up to 60 hours of total playtime35 hours with anc on a 10minute charge gives you 150 minutes of playtime without anc
category_1_product_5,3 does klarity 4 support fast pairing,yes with blink pair technology klarity 4 connects instantly as soon as you open the case
category_1_product_5,4 is klarity 4 good for gaming,absolutely with combat gaming mode and 45ms ultralow latency you get a lagfree gaming experience
category_1_product_5,5 can i take calls with klarity 4,yes the zen quad mic enc ensures crystalclear calls by reducing background noise
category_1_product_5,6 is klarity 4 waterresistant,yes it has an ipx5 rating making it sweat and splashresistantperfect for workouts
category_1_product_5,8 how do i check the battery level,you can check it on your phones bluetooth settings or via the led indicators on the charging case
category_1_product_5,7 can i use klarity 4 with my iphone or laptop,yes klarity 4 works with iphones android devices laptops and any device with bluetooth
category_1_product_6,goboult z40 earbuds have noise cancellation,yes goboult z40 earbuds feature quad mic setup and zen mode quad mic environmental noise cancellation
category_1_product_6,how can i switch between various eq modes in z40 earbuds,tap 4 times on the right earbud to switch between your 3 eq modes hifi bass boost and rock you can also customise the touch controls with the goboultamp app as per your preference
category_1_product_6,how long is the playback time for the goboult z40,the goboult z40 earbuds offer 60 hours of uninterrupted playtime
category_1_product_6,are goboult z40 earbuds waterproof,yes the z40 earbuds come with an ipx5 rating
category_1_product_6,how do i reset my goboult z40 earbuds,long press both the goboult earbuds for 10 seconds to factory reset
category_1_product_6,does z40 feature fast charging,yes the z40 earbuds support typec lightning goboult fast charging you can get 100 minutes of playtime with just 10 minutes of charging
category_1_product_7,which bluetooth version do mustang dyno earbuds support,mustang dyno wireless earbuds feature the bluetooth 54 version
category_1_product_7,are these wireless earbuds compatible with ios android mac and windows,yes the mustang dyno earbuds are compatible with all the devices
category_1_product_7,what is the charging time of the mustang dyno,mustang dyno earbuds support fast charging with 120 minutes of playback after a 10minute charge
category_1_product_8,what bluetooth version do these earbuds have,these earbuds boast thelatest bluetooth 54 version
category_1_product_8,do goboult klarity 1 earbuds have low latency for video streaming,yes goboult klarity 1 earbuds are engineered with 45ms ultralow latency to provide a smooth and synchronized audio experience during video streaming and gaming
category_1_product_8,are the goboult klarity 1 earbuds equipped with noise cancellation enc for improved calling,the goboult klarity 1 earbuds feature a quad mic setup and environment noise cancellation technology ensuring crystalclear calling
