product_id,key,value
category_1_product_1,battery charging,total playback 40 hours lightning fast charging 15 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_1,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_1,sound,driver boom tech drivers audio codec aac sbc high fidelity acoustics
category_1_product_1,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_1,water resistance,ip 5
category_1_product_1,added features,ai voice assistant touch controls
category_1_product_1,bluetooth version,blink pair bluetooth 53 fastest pairing
category_1_product_1,gaming mode,combat gaming mode with 45 ms ultra low latency
category_1_product_2,battery charging,total playback 100 hours fast charging 10 min charge 120 min playtime charging port ctype charging indicator yes
category_1_product_2,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_2,sound,driver 10 mm audio codec aac sbc high fidelity acoustics
category_1_product_2,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_2,water resistance,ip 5
category_1_product_2,added features,ai voice assistant
category_1_product_2,drivers,boom technology 13 mm drivers sbc aac codec supported
category_1_product_3,battery charging,total playback 50 hours lightning fast charging 10 min charge 120 min playtime charging port ctype charging indicator yes
category_1_product_3,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_3,sound,driver 10 mm audio codec aac sbc high fidelity acoustics
category_1_product_3,connectivity,bt version 54 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_3,water resistance,ip 5
category_1_product_3,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_3,added features,ai voice assistant touch controls 40 ms ultra low latency combat mode dynamic leds
category_1_product_4,battery charging,total playback 40 hours lightning fast charging 15 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_4,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_4,sound,driver boom tech drivers audio codec aac sbc high fidelity acoustics
category_1_product_4,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_4,water resistance,ip 5
category_1_product_4,added features,ai voice assistant touch controls
category_1_product_4,bluetooth version,blink pair bluetooth 53 fastest pairing
