brand,category_id,product_id,title,price,main_price,discount,rating,link
noise,category_1,category_1_product_1,Air Buds 6,2999,3499,14,4.7,https://www.gonoise.com/products/noise-air-buds-6-truly-wireless-earbuds
noise,category_1,category_1_product_2,Pop Buds,1099,3499,69,5.0,https://www.gonoise.com/products/noise-pop-buds-truly-wireless-earbuds
noise,category_1,category_1_product_3,Buds VS102 Elite,999,3499,71,4.8,https://www.gonoise.com/products/noise-buds-vs102-elite-truly-wireless-earbuds
noise,category_1,category_1_product_4,Buds Connect 2,1299,3999,68,5.0,https://www.gonoise.com/products/noise-buds-connect-2-truly-wireless-earbuds
noise,category_1,category_1_product_5,Air Buds Pro 4,1499,5499,73,4.9,https://www.gonoise.com/products/noise-air-buds-pro-4-earbuds
noise,category_1,category_1_product_6,Buds Connect,1099,3999,73,4.8,https://www.gonoise.com/products/noise-buds-connect-truly-wireless-earbuds
noise,category_1,category_1_product_7,Buds N1,1199,3499,66,4.7,https://www.gonoise.com/products/noise-buds-n1-truly-wireless-earbuds
noise,category_1,category_1_product_8,Buds VS102 Pro,1499,4999,70,4.8,https://www.gonoise.com/products/noise-buds-vs102-pro-truly-wireless-earbuds
noise,category_1,category_1_product_9,Buds VS401,1399,3499,60,4.8,https://www.gonoise.com/products/noise-buds-vs401-truly-wireless-earbuds
noise,category_1,category_1_product_10,Aura Buds,1099,4499,76,4.9,https://www.gonoise.com/products/noise-aura-buds-truly-wireless-earbuds
noise,category_1,category_1_product_11,Buds VS202,1199,3499,66,4.6,https://www.gonoise.com/products/noise-buds-vs202-truly-wireless-bt-earbuds
noise,category_1,category_1_product_12,Buds Nero,899,3499,74,4.8,https://www.gonoise.com/products/noise-buds-nero-truly-wireless-earbuds
noise,category_1,category_1_product_13,Buds VS404 With ENC,999,3499,71,4.8,https://www.gonoise.com/products/noise-buds-vs404-truly-wireless-earbuds
noise,category_1,category_1_product_14,Buds Combat Z,1499,3999,63,5.0,https://www.gonoise.com/products/noise-buds-combat-z-wireless-earbuds
noise,category_1,category_1_product_15,Buds VS102,1199,2999,60,4.7,https://www.gonoise.com/products/noise-buds-vs102-truly-wireless-bt-earbuds
noise,category_1,category_1_product_16,Buds N1 Pro,1499,4999,70,4.9,https://www.gonoise.com/products/noise-buds-n1-pro-truly-wireless-earbuds
noise,category_1,category_1_product_17,Air Buds Pro 6,2999,3999,25,4.7,https://www.gonoise.com/products/noise-air-buds-pro-6-earbuds
noise,category_1,category_1_product_18,Buds VS104 Pro,1599,4999,68,4.6,https://www.gonoise.com/products/noise-buds-vs104-pro-truly-wireless-earbuds
noise,category_1,category_1_product_19,Buds Trance 2,999,2999,67,4.8,https://www.gonoise.com/products/noise-buds-trance-2-wireless-earbuds
noise,category_1,category_1_product_20,Buds Xero,3299,6999,53,4.9,https://www.gonoise.com/products/noise-buds-xero-truly-wireless-earbuds
noise,category_1,category_1_product_21,Buds VS402 Gaming,1399,3999,65,4.8,https://www.gonoise.com/products/noise-buds-vs402-truly-wireless-earbuds
noise,category_1,category_1_product_22,Buds Trance,999,2499,60,4.8,https://www.gonoise.com/products/noise-buds-trance-wireless-earbuds
noise,category_1,category_1_product_23,Master Buds - Sound by Bose,7999,7999,60,4.9,https://www.gonoise.com/products/noise-master-buds-truly-wireless-earbuds
noise,category_1,category_1_product_24,Air Buds 3,1099,4499,76,4.8,https://www.gonoise.com/products/noise-air-buds-3-truly-wireless-earbuds
noise,category_1,category_1_product_25,Buds VS106 50 Hr Playtime,1099,4499,76,4.5,https://www.gonoise.com/products/noise-buds-vs106-truly-wireless-earbuds
noise,category_1,category_1_product_26,Air Clips,2999,3999,25,4.8,https://www.gonoise.com/products/noise-air-clips-ows-open-ear-headphone
noise,category_1,category_1_product_27,Buds VS104,1099,3499,69,4.6,https://www.gonoise.com/products/noise-buds-vs104-truly-wireless-bt-earbuds
noise,category_1,category_1_product_28,Buds Venus ANC,1899,5499,65,4.8,https://www.gonoise.com/products/noise-buds-venus-truly-wireless-earbuds
noise,category_1,category_1_product_29,Buds X Prime,1599,4499,64,4.9,https://www.gonoise.com/products/buds-x-prime-truly-wireless-earbuds
noise,category_1,category_1_product_30,Buds Verve 2,1499,3999,63,4.8,https://www.gonoise.com/products/noise-buds-verve-2-truly-wireless-earbuds
noise,category_1,category_1_product_31,Air Clips 2,3499,3999,13,4.7,https://www.gonoise.com/products/noise-air-clips-2-ows-open-ear-headphone
noise,category_1,category_1_product_32,Buds VS102 Plus,1099,3999,73,4.6,https://www.gonoise.com/products/noise-buds-vs102-plus
noise,category_1,category_1_product_33,View Buds,2499,6999,64,4.8,https://www.gonoise.com/products/noise-view-buds-truly-wireless-earbuds
noise,category_1,category_1_product_34,Buds VS104 Max,1299,4999,74,4.9,https://www.gonoise.com/products/noise-buds-vs104-max-truly-wireless-earbuds
noise,category_1,category_1_product_35,Buds VS102 Neo,999,3499,71,4.0,https://www.gonoise.com/products/noise-buds-vs102-neo-truly-wireless-earbuds
noise,category_1,category_1_product_36,Noise Buds Ace Truly Wireless Earbuds,1399,3499,60,5.0,https://www.gonoise.com/products/noise-buds-ace-truly-wireless-earbuds
noise,category_1,category_1_product_37,Buds MVP 102,1399,2999,53,5.0,https://www.gonoise.com/products/noise-buds-mvp102-truly-wireless-earbuds
noise,category_1,category_1_product_38,Buds R1,1199,2999,60,4.8,https://www.gonoise.com/products/noise-buds-r1-truly-wireless-earbuds
