product_id,feature
category_1_product_1,wireless earbuds with 50 hours playback
category_1_product_1,ai enx with wind noise reduction
category_1_product_1,cinematic spatial audio
category_1_product_2,wireless earbuds with knowles dual drivers
category_1_product_2,hires audio ldac
category_1_product_2,40 hours playback
category_1_product_2,boat hifi sound
category_1_product_2,enx technology
category_1_product_2,dual pairing
category_1_product_3,wireless earbuds with upto 60 hours playback
category_1_product_3,13mm drivers
category_1_product_3,iwp technology
category_1_product_3,650mah charging case
category_1_product_4,wireless earbuds with active noise cancellation
category_1_product_4,enx technology
category_1_product_4,120 hours playback
category_1_product_4,beast mode
category_1_product_5,wireless earbuds with anc up to 32db
category_1_product_5,quad mics enx tech
category_1_product_5,60 hours playback
category_1_product_6,true wireless earbuds with 35 hours playback
category_1_product_6,13mm drivers
category_1_product_6,enx tech
category_1_product_6,asap charge
category_1_product_6,iwp technology
category_1_product_7,bluetooth wireless earbuds with crystal bionic sound powered by hifi dsp
category_1_product_7,120 hours playback
category_1_product_7,dual eq modes
category_1_product_7,quad mics with enx technology
category_1_product_8,wireless earbuds with 100 hours playback
category_1_product_8,quad mics with enx
category_1_product_8,beast mode
category_1_product_8,asap charge
category_1_product_9,wireless earbuds with 100 hours playback
category_1_product_9,4 mics with enx technology
category_1_product_9,beast mode
category_1_product_10,wireless earbuds with 50 hours playback
category_1_product_10,dual mics with enx technology
category_1_product_10,beast mode
category_1_product_10,asap charge
category_1_product_11,wireless earbuds with massive playback of upto 40 hours
category_1_product_11,ipx5 water  sweat resistance
category_1_product_11,iwp technology
category_1_product_11,type c interface
category_1_product_12,wireless earbuds with 75 hours playback
category_1_product_12,enx technology
category_1_product_12,10mm drivers
category_1_product_12,beast mode
category_1_product_12,iwp technology
category_1_product_13,wireless earbuds with 40 hours playback
category_1_product_13,beast mode
category_1_product_13,enx technology
category_1_product_13,dual mic with enx technology
category_1_product_14,wireless earbuds with 42 hours playback
category_1_product_14,enx technology
category_1_product_14,beast mode
category_1_product_15,wireless earbuds with 50 hours playback
category_1_product_15,46db hybrid anc
category_1_product_15,spatial audio
category_1_product_15,multipoint  beast mode
category_1_product_16,wireless earbuds with 100 hours playback
category_1_product_16,immersive spatial audio
category_1_product_16,multipoint connectivity
category_1_product_17,wireless earbuds with massive playback of upto 50 hours
category_1_product_17,ipx4 water  sweat resistance
category_1_product_17,iwp technology
category_1_product_17,type c interface
category_1_product_18,wireless earbuds with 50 hours playback
category_1_product_18,enx tech
category_1_product_18,bt v53
category_1_product_18,beast mode
category_1_product_18,asap charge
category_1_product_19,wireless earbuds with 50 hours playback
category_1_product_19,beast mode
category_1_product_19,quad mics with enx tech
category_1_product_19,iwp technology
category_1_product_21,wireless earbuds with active noise cancellation up to 32db
category_1_product_21,42 hours playback
category_1_product_21,beast mode
category_1_product_22,wireless earbuds with anc up to 32db
category_1_product_22,transparency mode
category_1_product_22,60 hours playback
category_1_product_22,enx technology
category_1_product_23,wireless earbuds with 50 hours playback
category_1_product_23,aienx calling
category_1_product_23,multipoint connectivity  boat signature sound
category_1_product_24,8mm drivers
category_1_product_24,upto 42 hours total playback
category_1_product_24,enx technology
category_1_product_24,asap charge
category_1_product_25,wireless earbuds with 35 hours playback
category_1_product_25,asap charge
category_1_product_25,beast mode
category_1_product_25,enx technology
category_1_product_26,wireless earbuds with 40 hours playback
category_1_product_26,dolby audio
category_1_product_26,beast mode
category_1_product_26,asap charge
category_1_product_26,enx technology
category_1_product_27,wireless earbuds with 50 hours playback
category_1_product_27,aienx calling
category_1_product_27,beast mode  boat signature sound
category_1_product_28,wireless earbuds with 50h playback
category_1_product_28,bluetooth v54
category_1_product_28,iwp technology
category_1_product_28,13mm drivers
