brand,category_id,product_id,title,price,main_price,discount,rating,link
boult,category_1,category_1_product_1,Y1,1299,5499,76,4,https://www.goboult.co.in/products/airbass-y1-true-wireless-bluetooth-earbuds-with-mic?variant=40621088407621
boult,category_1,category_1_product_30,W40,1499,2999,50,5,https://www.goboult.co.in/products/w40?variant=40615833305157
boult,category_1,category_1_product_29,Z20,1499,5499,72,3,https://www.goboult.co.in/products/z20?variant=40181874294853
boult,category_1,category_1_product_28,Mustang Derby,1899,5999,68,3,https://www.goboult.co.in/products/mustang-derby?variant=41766243696709
boult,category_1,category_1_product_27,W60,1399,1999,30,4,https://www.goboult.co.in/products/w60?variant=43149017153605
boult,category_1,category_1_product_26,K60,1499,5999,75,4,https://www.goboult.co.in/products/k60?variant=40832702087237
boult,category_1,category_1_product_25,Mustang Torq Silver,2399,5999,60,4,https://www.goboult.co.in/products/mustang-torq-silver?variant=42369712390213
boult,category_1,category_1_product_24,Astra,1599,3499,54,3,https://www.goboult.co.in/products/astra?variant=40628948664389
boult,category_1,category_1_product_23,K10,999,2499,60,4,https://www.goboult.co.in/products/k10?variant=42039488184389
boult,category_1,category_1_product_22,K40,1099,2999,63,5,https://www.goboult.co.in/products/k40?variant=41047203545157
boult,category_1,category_1_product_21,Z20 Pro,1299,5999,78,3,https://www.goboult.co.in/products/z20-pro?variant=40636861382725
boult,category_1,category_1_product_20,GOBOULT Z60,999,2999,66,5,https://www.goboult.co.in/products/goboult-z60?variant=40603581317189
boult,category_1,category_1_product_19,Mustang Dash,1999,5999,66,3,https://www.goboult.co.in/products/mustang-dash?variant=41767477510213
boult,category_1,category_1_product_18,GOBOULT Xena Pro,1679,5499,69,3,https://www.goboult.co.in/products/goboult-xena-pro?variant=41872202039365
boult,category_1,category_1_product_17,Mustang Torq Yellow,2399,5999,60,5,https://www.goboult.co.in/products/mustang-torq-yellow?variant=42371948806213
boult,category_1,category_1_product_16,Astra Neo,999,3499,71,5,https://www.goboult.co.in/products/astra-neo?variant=41426313576517
boult,category_1,category_1_product_15,k30,999,4999,80,3,https://www.goboult.co.in/products/k30?variant=42763907104837
boult,category_1,category_1_product_14,GOBOULT Vortex,1099,2499,56,4,https://www.goboult.co.in/products/goboult-vortex?variant=42069598502981
boult,category_1,category_1_product_13,GOBOULT Octave,1299,2999,56,4,https://www.goboult.co.in/products/octave?variant=41784127291461
boult,category_1,category_1_product_12,Shadow,1099,2499,56,4,https://www.goboult.co.in/products/shadow?variant=41784119459909
boult,category_1,category_1_product_11,K35,1399,2499,44,5,https://www.goboult.co.in/products/k35?variant=40745536356421
boult,category_1,category_1_product_10,W20,1399,2499,44,5,https://www.goboult.co.in/products/w20?variant=40632985256005
boult,category_1,category_1_product_9,Mustang Torq,2399,5999,60,4,https://www.goboult.co.in/products/mustang-torq?variant=41772203507781
boult,category_1,category_1_product_8,Klarity1,1499,3499,57,4,https://www.goboult.co.in/products/klarity1?variant=42193002758213
boult,category_1,category_1_product_7,Mustang Dyno,1499,4999,70,4,https://www.goboult.co.in/products/mustang-dyno?variant=42364998451269
boult,category_1,category_1_product_6,Z40,1399,4999,72,5,https://www.goboult.co.in/products/z40?variant=40466476171333
boult,category_1,category_1_product_5,Klarity 4,1599,3999,60,5,https://www.goboult.co.in/products/klarity-4?variant=42264683544645
boult,category_1,category_1_product_4,W30,1099,5499,80,5,https://www.goboult.co.in/products/w30?variant=42763910611013
boult,category_1,category_1_product_3,Cyborg,1079,2499,56,5,https://www.goboult.co.in/products/cyborg?variant=42100350156869
boult,category_1,category_1_product_2,GOBOULT Z40 Pro,1299,5499,76,5,https://www.goboult.co.in/products/goboult-z40-pro?variant=40640600703045
boult,category_1,category_1_product_31,X70,1599,4999,68,4,https://www.goboult.co.in/products/x70?variant=40634844610629
boult,category_1,category_1_product_32,Y1 Pro,1399,5999,76,3,https://www.goboult.co.in/products/y1-pro?variant=41556553596997
