product_id,author,rating,title,body
category_1_product_1,ashish patel,5,amazing product,great sound and no hard ear smoothly fitting my favourite black
category_1_product_1,kruti,5,sound symphony,great sound the pearl purple matches my phone love that
category_1_product_1,jai,4,nice product,this product maynot get success today but its good for our ears and our brain this style is new i love it
category_1_product_1,sonu rai,5,superb new airclip product,this airclip dooes not annoy your ear it is so better as compare to other ear buds ear phone sound doesnt impact on ear drum direct that is so good
category_1_product_1,mohamed riaz,5,best product,its an best product i have purchased lot of bluetooth ear buds but this one is best for my use like for jogging doing working in gym riding bike its very comfortable for me
category_1_product_3,monika yadav,5,awesome,nice earbuds love the color and design very comfortable
category_1_product_3,abhishek kumar,5,buds vs102 elite,good one nice bass nice good sound quality best one
category_1_product_3,sarbfarmer,4,looking good,fisrt i use noise vs102 its good then i order vs102 plus now i use n1
category_1_product_3,kevin sapra,4,excellent,very good purchase worth buying
category_1_product_3,ak,5,nice sound quality,nice sound quality bass is also good
category_1_product_7,sundar,5,buds vs102 plus,good product battery backup is nice
category_1_product_7,trikant singh,4,noise vs 102 plus earbuds,good dilevery service
category_1_product_7,rohit singh,5,excellent,awesome
category_1_product_7,dipannita das das,5,excellent product,i have already used noise buds vs102 once but this 102 plus is amazing the sound quality is awesome and packaging is also nice sound and voice record quality is also good within the amount its quite affordable
category_1_product_7,manir ahmad,5,awesome,colour and best quality i like it
category_1_product_9,vv,5,best in price,best in price all in one anc works well the sound quality and microphone are good as well 100 recommend the earbuds
category_1_product_9,ss,5,excellent purchase below 2k,a great quality ear buds have been enjoying it since two days and must say its pretty impressive so far great job noise
category_1_product_9,aniket patel,5,worth and value for money,couldnt be better at this price point loved it especially its base mode loved the aesthetic design
category_1_product_9,anonymous,5,good,very good
category_1_product_9,mira,5,its awesome,its best quality product nd the battery truly justify its worth
category_1_product_10,bhavya awate,5,best value for money product,i bought this and using it and the sound quality was just too good
category_1_product_10,ashutosh kumar,5,good buds,good sound
category_1_product_10,bhavishya garg,5,noise vs102 elite review,these are the best earbuds in this segment they offer very good sound quality and very good bass
category_1_product_10,pankaj gautam,5,sound quality superb,battery backup is to good
category_1_product_10,arya dixit,5,nice and decent buds,its good and decent buds looks are awesome
category_1_product_11,shahnawaz ansari,4,excellent buds,i like this buds noise cancellation excellent amazing buds but gameing letency is low gun shot timeing naino second different but all other best buds
category_1_product_11,ram das,5,best product,premium rich earbuds
category_1_product_11,vaishali ayyar,5,just in love with this buds,really loved this earbuds totally in love with it i dont think we need to buy that apple airpods when we get this type of product in such a budget friendly price and such a premium quality product noise
category_1_product_11,amar rana,5,excellent,quality is good environment noise cancellation is available sound quality is good build quality is good charging is good dual pair is good
category_1_product_11,shubham,5,badhiya,bhut badhiya hai ek no ka product hai
category_1_product_12,ronak savaliya,5,excellent,recently i have purchased a jet black coloured vs102 buds upto now its running fantastic even i tried full bassed audio and played 3 days constantly i liked its jet black coloured case with which has attractive gray middle line i hope it will run in nearest future the same as today
category_1_product_12,avinash agarwall,5,atul jaiswal ji charging case cover,atul jaiswal ji aapko charging 102case mil jayega sir aap maere phone number pae contact kar sakte h original best quality products h kal tak confirm bta daina ji mil jayaega
category_1_product_12,dr vishal,5,excellent replacement of earbuds,i recently had my noise earbuds replaced and i am genuinely impressed with the overall experience and quality of the new pair heres why 1 seamless replacement process the replacement process was efficient and hasslefree from raising the issue to receiving the new earbuds the customer support team was highly responsive and professional ensuring i was wellinformed at every step 2 superior product quality the replacement earbuds feel like a significant upgrade the build quality is excellent and they fit comfortably providing a secure and snug experience during workouts and daily use 3 impressive sound performance the audio quality of the replaced earbuds is fantastic the sound is crisp with deep bass and balanced mids and highs making them perfect for music calls and podcasts the noise cancellation is also notably effective creating an immersive experience 4 durable and reliable so far the new earbuds have proven durable and reliable with no connectivity or performance issues the battery life is impressive lasting through long listening sessions without needing frequent recharges 5 commitment to customer satisfaction this replacement experience reinforced my trust in the noise brand their commitment to customer satisfaction is evident and its reassuring to know they stand by their products in conclusion noise has exceeded my expectations with their service and the quality of the replaced earbuds i highly recommend the brand to anyone looking for premium audio devices backed by excellent customer support thank you noise for ensuring customer delight
category_1_product_12,shubham shekhar,5,amazing,sound quality are awesome and battery charges very quickly and give 40 hours plus simply awesome
category_1_product_14,junaid mohammed,5,nose master buds,excellent product detailed mids and lows worth of buying
category_1_product_14,omkar sawant,5,truely materbuds,awesome experience sound quality is very good bass is soul satisfying vocals are very clear and the anc is truly impressive
